content	score
到了成都，还是建议去看看的，也算是一个真迹吧，里面建设的很大，有一个后花园，还有园内园。地理位置距离锦里很近，可以一起逛逛。	1
非常好，出票快，不用排队等候。	1
虽然是新的景点，但还是从中看到了重庆的历史。	0
其实我对锦里更感兴趣，成都小吃好吃啊	1
还不错，人比较多，雪很厚，小朋友玩儿得很开心！大家排队还是比较有序的，就是去滑雪场的公交车少了点！明年有机会还是回去！	1
感觉一般般吧&39;与草堂相比有些不值&39;人还真不少	1
就是一个商业区，不能算旅游景点吧。	0
有点失望吧，地方不大，三国蜀国稍微重要点的武将都有灵位在这里。后山是刘备的墓～至于是真是假就不得而知了。总体来说不划算。而且我来得不是时候，刚好在整修。	1
关门太早，人气不旺，票价太高。	0
昨天刚去过,门票60元嘛	1
去看的人蛮多的，就是门票有点贵。	1
历史氛围浓厚，了解三国文化的好去处。	1
非常愉快的旅行，谢谢我们的导游江武勤。孩子玩得非常高兴	1
武侯祠，内部景观设计的超级美，不虚此行	1
人太多，熊猫隔着玻璃，观看感觉不够贴近	0
人多不好玩，排队有一个钟。差评	0
值得一看，进一步了解三国历史。	1
值得参观，线路规划清晰，园里的景色也很好看	1
美景尽收眼底！一级棒！只见西岭千秋雪❄️！不枉此行！旅途愉快！让人留连忘返……	1
到了成都必游武侯祠，刘备和诸葛亮合祀的地方。到这里更多的了解这位中国历史上的传奇人物。	1
买票就是为了滑雪，西岭雪山滑雪不错	1
还行，人不多，有免费讲解员，厉害	1
值得一去，环境不错，风景也不错，	1
人好多啊！基本上是人挤人，但是学到了很多新知识，网上订票不用排队，出票快，还有折扣，真是太方便了！	1
挺大气的一所公园，有历史的意义和韵味，红墙很有特色。去成都玩必玩的一景吧。	1
武侯祠喜欢三国历史的朋友可以到这里感受下古人当年的威风凛凛 忠心义胆好爱这里的景色。玉兰和桃花的绽放给武侯祠平添了几分趣味	1
乘员太多，看不清楚周围景色。。	0
还不错，作为一个三国迷来说，！	1
夜场滑雪只有98元，相对周末白天价很实惠，人比较多，魔毯要排很长的队。7点到9点，一般不到9点就开始清场了，有点不够尽兴。	1
不错，支持微信讲解但是信号不好，最好租个讲解器	1
除了吊脚楼的造型，基本没什么特别的啦，里面都是小酒吧，餐厅，咖啡茶馆，没朋友约估计很难再去	0
很不错！在有雪的时候，风景很美	1
夜景相当不错，十一出游的人太多了。。。。	0
值得去看看  学习学习三国历史 不过十一假期人很多	1
三国的故事家喻户晓，刘备诸葛亮生前造福巴蜀，死后更是如此，历史典故都很熟悉，景色也非常宜人	1
人多景美，取票方便快捷，很开心的一次旅游。	1
不错哦成都市居然有雪山，有几条雪道 能滑雪，很牛！！！	1
